"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8129.45614035","14871.4035088","5918.28070175","237.122807018","0.951046417591","0.758817535181","0.579356873418","0.241182464819"
" beta=10000 tol=0.01 mode=cg ","8129.45614035","14871.4035088","5918.28070175","237.122807018","0.951046417591","0.758817535181","0.579356873418","0.241182464819"
" beta=10000 tol=0.01 mode=bf ","8191.43859649","14883.0701754","5906.61403509","175.140350877","0.954694908899","0.762147934439","0.580782337608","0.237852065561"
" beta=10000 tol=0.02 mode=cg_mg ","8168.89473684","14634.4561404","6155.22807018","197.684210526","0.94445241928","0.771917812748","0.600347641187","0.228082187252"
" beta=10000 tol=0.02 mode=cg ","8168.89473684","14634.4561404","6155.22807018","197.684210526","0.94445241928","0.771917812748","0.600347641187","0.228082187252"
" beta=10000 tol=0.02 mode=bf ","8191.43859649","14883.0701754","5906.61403509","175.140350877","0.954694908899","0.762147934439","0.580782337608","0.237852065561"
" beta=10000 tol=0.0001 mode=cg_mg ","8191.80701754","14884.8070175","5904.87719298","174.771929825","0.954710197921","0.762216451113","0.580882175498","0.237783548887"
" beta=10000 tol=0.0001 mode=cg ","8191.80701754","14884.8070175","5904.87719298","174.771929825","0.954710197921","0.762216451113","0.580882175498","0.237783548887"
" beta=10000 tol=0.0001 mode=bf ","8191.43859649","14883.0701754","5906.61403509","175.140350877","0.954694908899","0.762147934439","0.580782337608","0.237852065561"
" beta=20000 tol=0.01 mode=cg_mg ","8215.14035088","14631.1578947","6158.52631579","151.438596491","0.938428854182","0.765191431902","0.595399409502","0.234808568098"
" beta=20000 tol=0.01 mode=cg ","8215.14035088","14631.1578947","6158.52631579","151.438596491","0.938428854182","0.765191431902","0.595399409502","0.234808568098"
" beta=20000 tol=0.01 mode=bf ","8232.29824561","14684.5964912","6105.0877193","134.280701754","0.948277231901","0.750050884608","0.570334442794","0.249949115392"
" beta=20000 tol=0.02 mode=cg_mg ","8183.94736842","14707.5964912","6082.0877193","182.631578947","0.937808077909","0.753174027061","0.583361065703","0.246825972939"
" beta=20000 tol=0.02 mode=cg ","8183.94736842","14707.5964912","6082.0877193","182.631578947","0.937808077909","0.753174027061","0.583361065703","0.246825972939"
" beta=20000 tol=0.02 mode=bf ","8232.29824561","14684.5964912","6105.0877193","134.280701754","0.948277231901","0.750050884608","0.570334442794","0.249949115392"
" beta=20000 tol=0.0001 mode=cg_mg ","8232.29824561","14686.2105263","6103.47368421","134.280701754","0.948273479495","0.750204852095","0.570563719493","0.249795147905"
" beta=20000 tol=0.0001 mode=cg ","8232.29824561","14686.2105263","6103.47368421","134.280701754","0.948273479495","0.750204852095","0.570563719493","0.249795147905"
" beta=20000 tol=0.0001 mode=bf ","8232.29824561","14684.5964912","6105.0877193","134.280701754","0.948277231901","0.750050884608","0.570334442794","0.249949115392"
" beta=30000 tol=0.01 mode=cg_mg ","8219.10526316","13978.6491228","6811.03508772","147.473684211","0.934047959819","0.739814927816","0.567389082814","0.260185072184"
" beta=30000 tol=0.01 mode=cg ","8219.10526316","13978.6491228","6811.03508772","147.473684211","0.934047959819","0.739814927816","0.567389082814","0.260185072184"
" beta=30000 tol=0.01 mode=bf ","8224.68421053","14376.2280702","6413.45614035","141.894736842","0.942303530093","0.741708761089","0.566368303478","0.258291238911"
" beta=30000 tol=0.02 mode=cg_mg ","8194.49122807","13492.9122807","7296.77192982","172.087719298","0.944860705931","0.690461965803","0.512178672804","0.309538034197"
" beta=30000 tol=0.02 mode=cg ","8194.49122807","13492.9122807","7296.77192982","172.087719298","0.944860705931","0.690461965803","0.512178672804","0.309538034197"
" beta=30000 tol=0.02 mode=bf ","8224.68421053","14376.2280702","6413.45614035","141.894736842","0.942303530093","0.741708761089","0.566368303478","0.258291238911"
" beta=30000 tol=0.0001 mode=cg_mg ","8223.63157895","14356.8421053","6432.84210526","142.947368421","0.941081203685","0.739117904737","0.56532695227","0.260882095263"
" beta=30000 tol=0.0001 mode=cg ","8223.63157895","14356.8421053","6432.84210526","142.947368421","0.941081203685","0.739117904737","0.56532695227","0.260882095263"
" beta=30000 tol=0.0001 mode=bf ","8224.68421053","14376.2280702","6413.45614035","141.894736842","0.942303530093","0.741708761089","0.566368303478","0.258291238911"
" beta=40000 tol=0.01 mode=cg_mg ","8219.84210526","13733.2105263","7056.47368421","146.736842105","0.941740493765","0.710885188103","0.540173357054","0.289114811897"
" beta=40000 tol=0.01 mode=cg ","8219.84210526","13733.2105263","7056.47368421","146.736842105","0.941740493765","0.710885188103","0.540173357054","0.289114811897"
" beta=40000 tol=0.01 mode=bf ","8210.14035088","14241.4035088","6548.28070175","156.438596491","0.936843972096","0.73598646467","0.561074016497","0.26401353533"
" beta=40000 tol=0.02 mode=cg_mg ","8194.75438596","12859.6315789","7930.05263158","171.824561404","0.944188961078","0.642708093622","0.462631611198","0.357291906378"
" beta=40000 tol=0.02 mode=cg ","8194.75438596","12859.6315789","7930.05263158","171.824561404","0.944188961078","0.642708093622","0.462631611198","0.357291906378"
" beta=40000 tol=0.02 mode=bf ","8210.14035088","14241.4035088","6548.28070175","156.438596491","0.936843972096","0.73598646467","0.561074016497","0.26401353533"
" beta=40000 tol=0.0001 mode=cg_mg ","8208.31578947","14271.3508772","6518.33333333","158.263157895","0.934618239978","0.736829526174","0.560497634296","0.263170473826"
" beta=40000 tol=0.0001 mode=cg ","8208.31578947","14271.3508772","6518.33333333","158.263157895","0.934618239978","0.736829526174","0.560497634296","0.263170473826"
" beta=40000 tol=0.0001 mode=bf ","8210.14035088","14241.4035088","6548.28070175","156.438596491","0.936843972096","0.73598646467","0.561074016497","0.26401353533"
