"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8125.66666667","14516.9122807","6272.77192982","240.912280702","0.937092706014","0.754377207628","0.572022172424","0.245622792372"
" beta=10000 tol=0.01 mode=cg ","8125.66666667","14516.9122807","6272.77192982","240.912280702","0.937092706014","0.754377207628","0.572022172424","0.245622792372"
" beta=10000 tol=0.01 mode=bf ","8149.75438596","14585.9824561","6203.70175439","216.824561404","0.938430738722","0.754361898178","0.57232383871","0.245638101822"
" beta=10000 tol=0.02 mode=cg_mg ","8116.56140351","14946.4736842","5843.21052632","250.01754386","0.917829217172","0.787993041467","0.615402630354","0.212006958533"
" beta=10000 tol=0.02 mode=cg ","8116.56140351","14946.4736842","5843.21052632","250.01754386","0.917829217172","0.787993041467","0.615402630354","0.212006958533"
" beta=10000 tol=0.02 mode=bf ","8149.75438596","14585.9824561","6203.70175439","216.824561404","0.938430738722","0.754361898178","0.57232383871","0.245638101822"
" beta=10000 tol=0.0001 mode=cg_mg ","8149.66666667","14583.8947368","6205.78947368","216.912280702","0.938416192353","0.7543616437","0.572315840874","0.2456383563"
" beta=10000 tol=0.0001 mode=cg ","8149.66666667","14583.8947368","6205.78947368","216.912280702","0.938416192353","0.7543616437","0.572315840874","0.2456383563"
" beta=10000 tol=0.0001 mode=bf ","8149.75438596","14585.9824561","6203.70175439","216.824561404","0.938430738722","0.754361898178","0.57232383871","0.245638101822"
" beta=20000 tol=0.01 mode=cg_mg ","8138.15789474","14899.2807018","5890.40350877","228.421052632","0.921514822985","0.78532409141","0.615272361143","0.21467590859"
" beta=20000 tol=0.01 mode=cg ","8138.15789474","14899.2807018","5890.40350877","228.421052632","0.921514822985","0.78532409141","0.615272361143","0.21467590859"
" beta=20000 tol=0.01 mode=bf ","8171.73684211","14480.1403509","6309.54385965","194.842105263","0.933907206429","0.740329846803","0.559631945867","0.259670153197"
" beta=20000 tol=0.02 mode=cg_mg ","8112.31578947","14561.3333333","6228.35087719","254.263157895","0.924934136341","0.753216995162","0.554718318676","0.246783004838"
" beta=20000 tol=0.02 mode=cg ","8112.31578947","14561.3333333","6228.35087719","254.263157895","0.924934136341","0.753216995162","0.554718318676","0.246783004838"
" beta=20000 tol=0.02 mode=bf ","8171.73684211","14480.1403509","6309.54385965","194.842105263","0.933907206429","0.740329846803","0.559631945867","0.259670153197"
" beta=20000 tol=0.0001 mode=cg_mg ","8171.61403509","14475.1929825","6314.49122807","194.964912281","0.933852199098","0.739984887611","0.559235511102","0.260015112389"
" beta=20000 tol=0.0001 mode=cg ","8171.61403509","14475.1929825","6314.49122807","194.964912281","0.933852199098","0.739984887611","0.559235511102","0.260015112389"
" beta=20000 tol=0.0001 mode=bf ","8171.73684211","14480.1403509","6309.54385965","194.842105263","0.933907206429","0.740329846803","0.559631945867","0.259670153197"
" beta=30000 tol=0.01 mode=cg_mg ","8195.61403509","13848.6140351","6941.07017544","170.964912281","0.932621483619","0.736036677086","0.55569046615","0.263963322914"
" beta=30000 tol=0.01 mode=cg ","8195.61403509","13848.6140351","6941.07017544","170.964912281","0.932621483619","0.736036677086","0.55569046615","0.263963322914"
" beta=30000 tol=0.01 mode=bf ","8181.40350877","14361.3508772","6428.33333333","185.175438596","0.930934507422","0.734788098375","0.559541186391","0.265211901625"
" beta=30000 tol=0.02 mode=cg_mg ","8107.12280702","13760.9298246","7028.75438596","259.456140351","0.916589862823","0.690681197451","0.484630396451","0.309318802549"
" beta=30000 tol=0.02 mode=cg ","8107.12280702","13760.9298246","7028.75438596","259.456140351","0.916589862823","0.690681197451","0.484630396451","0.309318802549"
" beta=30000 tol=0.02 mode=bf ","8181.40350877","14361.3508772","6428.33333333","185.175438596","0.930934507422","0.734788098375","0.559541186391","0.265211901625"
" beta=30000 tol=0.0001 mode=cg_mg ","8179.84210526","14362.1052632","6427.57894737","186.736842105","0.929323116188","0.735435944547","0.55958586473","0.264564055453"
" beta=30000 tol=0.0001 mode=cg ","8179.84210526","14362.1052632","6427.57894737","186.736842105","0.929323116188","0.735435944547","0.55958586473","0.264564055453"
" beta=30000 tol=0.0001 mode=bf ","8181.40350877","14361.3508772","6428.33333333","185.175438596","0.930934507422","0.734788098375","0.559541186391","0.265211901625"
" beta=40000 tol=0.01 mode=cg_mg ","8147.92982456","13642.5614035","7147.12280702","218.649122807","0.920439175276","0.722436421823","0.531446414272","0.277563578177"
" beta=40000 tol=0.01 mode=cg ","8147.92982456","13642.5614035","7147.12280702","218.649122807","0.920439175276","0.722436421823","0.531446414272","0.277563578177"
" beta=40000 tol=0.01 mode=bf ","8184.89473684","14177.4736842","6612.21052632","181.684210526","0.929001205923","0.722838742265","0.549262772264","0.277161257735"
" beta=40000 tol=0.02 mode=cg_mg ","8095.10526316","12865.5438596","7924.14035088","271.473684211","0.917229545162","0.652368807356","0.454502075015","0.347631192644"
" beta=40000 tol=0.02 mode=cg ","8095.10526316","12865.5438596","7924.14035088","271.473684211","0.917229545162","0.652368807356","0.454502075015","0.347631192644"
" beta=40000 tol=0.02 mode=bf ","8184.89473684","14177.4736842","6612.21052632","181.684210526","0.929001205923","0.722838742265","0.549262772264","0.277161257735"
" beta=40000 tol=0.0001 mode=cg_mg ","8183.71929825","14159.9473684","6629.73684211","182.859649123","0.927378105152","0.723050181382","0.548981088977","0.276949818618"
" beta=40000 tol=0.0001 mode=cg ","8183.71929825","14159.9473684","6629.73684211","182.859649123","0.927378105152","0.723050181382","0.548981088977","0.276949818618"
" beta=40000 tol=0.0001 mode=bf ","8184.89473684","14177.4736842","6612.21052632","181.684210526","0.929001205923","0.722838742265","0.549262772264","0.277161257735"
