"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8094.45614035","17366.7017544","3422.98245614","272.122807018","0.950785289128","0.907032858737","0.753715879295","0.0929671412632"
" beta=10000 tol=0.01 mode=cg ","8094.45614035","17366.7017544","3422.98245614","272.122807018","0.950785289128","0.907032858737","0.753715879295","0.0929671412632"
" beta=10000 tol=0.01 mode=bf ","8124.36842105","17348.0","3441.68421053","242.210526316","0.954625084819","0.901477358739","0.747019823314","0.0985226412609"
" beta=10000 tol=0.02 mode=cg_mg ","8065.28070175","17825.6842105","2964.0","301.298245614","0.942401621685","0.919521268342","0.774350974931","0.0804787316577"
" beta=10000 tol=0.02 mode=cg ","8065.28070175","17825.6842105","2964.0","301.298245614","0.942401621685","0.919521268342","0.774350974931","0.0804787316577"
" beta=10000 tol=0.02 mode=bf ","8124.36842105","17348.0","3441.68421053","242.210526316","0.954625084819","0.901477358739","0.747019823314","0.0985226412609"
" beta=10000 tol=0.0001 mode=cg_mg ","8124.75438596","17346.8947368","3442.78947368","241.824561404","0.954732582688","0.901509046553","0.747117573392","0.0984909534473"
" beta=10000 tol=0.0001 mode=cg ","8124.75438596","17346.8947368","3442.78947368","241.824561404","0.954732582688","0.901509046553","0.747117573392","0.0984909534473"
" beta=10000 tol=0.0001 mode=bf ","8124.36842105","17348.0","3441.68421053","242.210526316","0.954625084819","0.901477358739","0.747019823314","0.0985226412609"
" beta=20000 tol=0.01 mode=cg_mg ","8139.21052632","17216.6666667","3573.01754386","227.368421053","0.938970069661","0.904067849813","0.750405106749","0.0959321501871"
" beta=20000 tol=0.01 mode=cg ","8139.21052632","17216.6666667","3573.01754386","227.368421053","0.938970069661","0.904067849813","0.750405106749","0.0959321501871"
" beta=20000 tol=0.01 mode=bf ","8164.87719298","16838.6491228","3951.03508772","201.701754386","0.94952784216","0.891202732378","0.731459167223","0.108797267622"
