"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7931.36842105","16955.3157895","3834.36842105","435.210526316","0.916525720308","0.919016264053","0.752307617688","0.0809837359472"
" beta=10000 tol=0.01 mode=cg ","7931.36842105","16955.3157895","3834.36842105","435.210526316","0.916525720308","0.919016264053","0.752307617688","0.0809837359472"
" beta=10000 tol=0.01 mode=bf ","7295.29824561","19477.7017544","1311.98245614","1071.28070175","0.883140845998","0.958797391559","0.78500551637","0.0412026084412"
" beta=10000 tol=0.02 mode=cg_mg ","8171.28070175","14845.0350877","5944.64912281","195.298245614","0.952516970898","0.853904722872","0.677464275401","0.146095277128"
" beta=10000 tol=0.02 mode=cg ","8171.28070175","14845.0350877","5944.64912281","195.298245614","0.952516970898","0.853904722872","0.677464275401","0.146095277128"
" beta=10000 tol=0.02 mode=bf ","7295.29824561","19477.7017544","1311.98245614","1071.28070175","0.883140845998","0.958797391559","0.78500551637","0.0412026084412"
" beta=10000 tol=0.0001 mode=cg_mg ","7295.94736842","19478.3157895","1311.36842105","1070.63157895","0.883123729914","0.958749643094","0.784873835124","0.041250356906"
" beta=10000 tol=0.0001 mode=cg ","7295.94736842","19478.3157895","1311.36842105","1070.63157895","0.883123729914","0.958749643094","0.784873835124","0.041250356906"
" beta=10000 tol=0.0001 mode=bf ","7295.29824561","19477.7017544","1311.98245614","1071.28070175","0.883140845998","0.958797391559","0.78500551637","0.0412026084412"
" beta=20000 tol=0.01 mode=cg_mg ","8116.64912281","16586.5789474","4203.10526316","249.929824561","0.945140837658","0.884268593524","0.708156280903","0.115731406476"
" beta=20000 tol=0.01 mode=cg ","8116.64912281","16586.5789474","4203.10526316","249.929824561","0.945140837658","0.884268593524","0.708156280903","0.115731406476"
" beta=20000 tol=0.01 mode=bf ","7605.54385965","19225.2807018","1564.40350877","761.035087719","0.894751464188","0.950328318824","0.777244392594","0.0496716811762"
" beta=20000 tol=0.02 mode=cg_mg ","8252.42105263","14168.1754386","6621.50877193","114.157894737","0.974067890082","0.808862149882","0.621806583196","0.191137850118"
" beta=20000 tol=0.02 mode=cg ","8252.42105263","14168.1754386","6621.50877193","114.157894737","0.974067890082","0.808862149882","0.621806583196","0.191137850118"
" beta=20000 tol=0.02 mode=bf ","7605.54385965","19225.2807018","1564.40350877","761.035087719","0.894751464188","0.950328318824","0.777244392594","0.0496716811762"
" beta=20000 tol=0.0001 mode=cg_mg ","7608.43859649","19217.9122807","1571.77192982","758.140350877","0.895060527256","0.950088914233","0.776921065063","0.0499110857671"
" beta=20000 tol=0.0001 mode=cg ","7608.43859649","19217.9122807","1571.77192982","758.140350877","0.895060527256","0.950088914233","0.776921065063","0.0499110857671"
" beta=20000 tol=0.0001 mode=bf ","7605.54385965","19225.2807018","1564.40350877","761.035087719","0.894751464188","0.950328318824","0.777244392594","0.0496716811762"
" beta=30000 tol=0.01 mode=cg_mg ","8206.43859649","15959.1052632","4830.57894737","160.140350877","0.961185475278","0.851515072176","0.667710100537","0.148484927824"
" beta=30000 tol=0.01 mode=cg ","8206.43859649","15959.1052632","4830.57894737","160.140350877","0.961185475278","0.851515072176","0.667710100537","0.148484927824"
" beta=30000 tol=0.01 mode=bf ","7732.57894737","19030.3333333","1759.35087719","634.0","0.898558602113","0.943408091506","0.767043589984","0.0565919084938"
" beta=30000 tol=0.02 mode=cg_mg ","8271.54385965","13864.1403509","6925.54385965","95.0350877193","0.976696036305","0.793078136976","0.598473619529","0.206921863024"
" beta=30000 tol=0.02 mode=cg ","8271.54385965","13864.1403509","6925.54385965","95.0350877193","0.976696036305","0.793078136976","0.598473619529","0.206921863024"
" beta=30000 tol=0.02 mode=bf ","7732.57894737","19030.3333333","1759.35087719","634.0","0.898558602113","0.943408091506","0.767043589984","0.0565919084938"
" beta=30000 tol=0.0001 mode=cg_mg ","7735.03508772","19019.1403509","1770.54385965","631.543859649","0.89849180605","0.943019329885","0.766124140532","0.056980670115"
" beta=30000 tol=0.0001 mode=cg ","7735.03508772","19019.1403509","1770.54385965","631.543859649","0.89849180605","0.943019329885","0.766124140532","0.056980670115"
" beta=30000 tol=0.0001 mode=bf ","7732.57894737","19030.3333333","1759.35087719","634.0","0.898558602113","0.943408091506","0.767043589984","0.0565919084938"
" beta=40000 tol=0.01 mode=cg_mg ","8234.70175439","15579.7368421","5209.94736842","131.877192982","0.965944619021","0.83715588092","0.650160411659","0.16284411908"
" beta=40000 tol=0.01 mode=cg ","8234.70175439","15579.7368421","5209.94736842","131.877192982","0.965944619021","0.83715588092","0.650160411659","0.16284411908"
" beta=40000 tol=0.01 mode=bf ","7790.80701754","18876.1403509","1913.54385965","575.771929825","0.898889905643","0.938500904805","0.759101911816","0.0614990951949"
" beta=40000 tol=0.02 mode=cg_mg ","8273.40350877","13936.5964912","6853.0877193","93.1754385965","0.976139451732","0.799724144781","0.608461100715","0.200275855219"
" beta=40000 tol=0.02 mode=cg ","8273.40350877","13936.5964912","6853.0877193","93.1754385965","0.976139451732","0.799724144781","0.608461100715","0.200275855219"
" beta=40000 tol=0.02 mode=bf ","7790.80701754","18876.1403509","1913.54385965","575.771929825","0.898889905643","0.938500904805","0.759101911816","0.0614990951949"
" beta=40000 tol=0.0001 mode=cg_mg ","7793.33333333","18843.0526316","1946.63157895","573.245614035","0.899220627574","0.936152529086","0.753585500586","0.0638474709142"
" beta=40000 tol=0.0001 mode=cg ","7793.33333333","18843.0526316","1946.63157895","573.245614035","0.899220627574","0.936152529086","0.753585500586","0.0638474709142"
" beta=40000 tol=0.0001 mode=bf ","7790.80701754","18876.1403509","1913.54385965","575.771929825","0.898889905643","0.938500904805","0.759101911816","0.0614990951949"
