"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7930.26315789","16678.754386","4110.92982456","436.315789474","0.925332923471","0.897019857466","0.725462756834","0.102980142534"
" beta=10000 tol=0.01 mode=cg ","7930.26315789","16678.754386","4110.92982456","436.315789474","0.925332923471","0.897019857466","0.725462756834","0.102980142534"
" beta=10000 tol=0.01 mode=bf ","6923.50877193","19464.9473684","1324.73684211","1443.07017544","0.866607529011","0.957849695528","0.764480073967","0.0421503044723"
" beta=10000 tol=0.02 mode=cg_mg ","8174.73684211","14356.5789474","6433.10526316","191.842105263","0.96490682753","0.818607278369","0.64221766383","0.181392721631"
" beta=10000 tol=0.02 mode=cg ","8174.73684211","14356.5789474","6433.10526316","191.842105263","0.96490682753","0.818607278369","0.64221766383","0.181392721631"
" beta=10000 tol=0.02 mode=bf ","6923.50877193","19464.9473684","1324.73684211","1443.07017544","0.866607529011","0.957849695528","0.764480073967","0.0421503044723"
" beta=10000 tol=0.0001 mode=cg_mg ","6919.80701754","19460.877193","1328.80701754","1446.77192982","0.866658753452","0.957787083507","0.764463224979","0.0422129164926"
" beta=10000 tol=0.0001 mode=cg ","6919.80701754","19460.877193","1328.80701754","1446.77192982","0.866658753452","0.957787083507","0.764463224979","0.0422129164926"
" beta=10000 tol=0.0001 mode=bf ","6923.50877193","19464.9473684","1324.73684211","1443.07017544","0.866607529011","0.957849695528","0.764480073967","0.0421503044723"
" beta=20000 tol=0.01 mode=cg_mg ","8081.35087719","15896.5087719","4893.1754386","285.228070175","0.954378432356","0.851405474343","0.671844318851","0.148594525657"
" beta=20000 tol=0.01 mode=cg ","8081.35087719","15896.5087719","4893.1754386","285.228070175","0.954378432356","0.851405474343","0.671844318851","0.148594525657"
" beta=20000 tol=0.01 mode=bf ","7334.19298246","19199.9824561","1589.70175439","1032.38596491","0.894661928842","0.945427887241","0.76417850377","0.0545721127587"
" beta=20000 tol=0.02 mode=cg_mg ","8249.22807018","13474.122807","7315.56140351","117.350877193","0.984145455162","0.767379576919","0.579887760835","0.232620423081"
" beta=20000 tol=0.02 mode=cg ","8249.22807018","13474.122807","7315.56140351","117.350877193","0.984145455162","0.767379576919","0.579887760835","0.232620423081"
" beta=20000 tol=0.02 mode=bf ","7334.19298246","19199.9824561","1589.70175439","1032.38596491","0.894661928842","0.945427887241","0.76417850377","0.0545721127587"
" beta=20000 tol=0.0001 mode=cg_mg ","7333.35087719","19191.1052632","1598.57894737","1033.22807018","0.894999101462","0.945194455823","0.763758860171","0.0548055441766"
" beta=20000 tol=0.0001 mode=cg ","7333.35087719","19191.1052632","1598.57894737","1033.22807018","0.894999101462","0.945194455823","0.763758860171","0.0548055441766"
" beta=20000 tol=0.0001 mode=bf ","7334.19298246","19199.9824561","1589.70175439","1032.38596491","0.894661928842","0.945427887241","0.76417850377","0.0545721127587"
" beta=30000 tol=0.01 mode=cg_mg ","8169.14035088","15137.1754386","5652.50877193","197.438596491","0.972739080364","0.812779867242","0.627381400486","0.187220132758"
" beta=30000 tol=0.01 mode=cg ","8169.14035088","15137.1754386","5652.50877193","197.438596491","0.972739080364","0.812779867242","0.627381400486","0.187220132758"
" beta=30000 tol=0.01 mode=bf ","7485.28070175","18944.9298246","1844.75438596","881.298245614","0.903839194553","0.936386165175","0.754187853756","0.0636138348247"
" beta=30000 tol=0.02 mode=cg_mg ","8272.9122807","13216.8596491","7572.8245614","93.6666666667","0.987883045665","0.756910420567","0.562009293898","0.243089579433"
" beta=30000 tol=0.02 mode=cg ","8272.9122807","13216.8596491","7572.8245614","93.6666666667","0.987883045665","0.756910420567","0.562009293898","0.243089579433"
" beta=30000 tol=0.02 mode=bf ","7485.28070175","18944.9298246","1844.75438596","881.298245614","0.903839194553","0.936386165175","0.754187853756","0.0636138348247"
" beta=30000 tol=0.0001 mode=cg_mg ","7486.49122807","18927.5263158","1862.15789474","880.087719298","0.904550994885","0.935570793588","0.752476395074","0.0644292064124"
" beta=30000 tol=0.0001 mode=cg ","7486.49122807","18927.5263158","1862.15789474","880.087719298","0.904550994885","0.935570793588","0.752476395074","0.0644292064124"
" beta=30000 tol=0.0001 mode=bf ","7485.28070175","18944.9298246","1844.75438596","881.298245614","0.903839194553","0.936386165175","0.754187853756","0.0636138348247"
" beta=40000 tol=0.01 mode=cg_mg ","8212.42105263","14727.2807018","6062.40350877","154.157894737","0.978282489091","0.802274142966","0.611357620933","0.197725857034"
" beta=40000 tol=0.01 mode=cg ","8212.42105263","14727.2807018","6062.40350877","154.157894737","0.978282489091","0.802274142966","0.611357620933","0.197725857034"
" beta=40000 tol=0.01 mode=bf ","7580.92982456","18785.1052632","2004.57894737","785.649122807","0.908814275607","0.93054025144","0.747212818709","0.0694597485602"
" beta=40000 tol=0.02 mode=cg_mg ","8277.57894737","13344.9649123","7444.71929825","89.0","0.986909676209","0.767887213716","0.572106210878","0.232112786284"
" beta=40000 tol=0.02 mode=cg ","8277.57894737","13344.9649123","7444.71929825","89.0","0.986909676209","0.767887213716","0.572106210878","0.232112786284"
" beta=40000 tol=0.02 mode=bf ","7580.92982456","18785.1052632","2004.57894737","785.649122807","0.908814275607","0.93054025144","0.747212818709","0.0694597485602"
" beta=40000 tol=0.0001 mode=cg_mg ","7585.1754386","18739.3157895","2050.36842105","781.403508772","0.910507772288","0.927007383059","0.740349748794","0.0729926169407"
" beta=40000 tol=0.0001 mode=cg ","7585.1754386","18739.3157895","2050.36842105","781.403508772","0.910507772288","0.927007383059","0.740349748794","0.0729926169407"
" beta=40000 tol=0.0001 mode=bf ","7580.92982456","18785.1052632","2004.57894737","785.649122807","0.908814275607","0.93054025144","0.747212818709","0.0694597485602"
