"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7825.38596491","15743.0350877","5046.64912281","541.192982456","0.891359755845","0.88739601891","0.701990432228","0.11260398109"
" beta=10000 tol=0.01 mode=cg ","7825.38596491","15743.0350877","5046.64912281","541.192982456","0.891359755845","0.88739601891","0.701990432228","0.11260398109"
" beta=10000 tol=0.01 mode=bf ","5639.12280702","19872.754386","916.929824561","2727.45614035","0.757666398652","0.969023481836","0.695293920291","0.0309765181644"
" beta=10000 tol=0.02 mode=cg_mg ","8205.57894737","13260.4035088","7529.28070175","161.0","0.963666277234","0.79271150702","0.617328376615","0.20728849298"
" beta=10000 tol=0.02 mode=cg ","8205.57894737","13260.4035088","7529.28070175","161.0","0.963666277234","0.79271150702","0.617328376615","0.20728849298"
" beta=10000 tol=0.02 mode=bf ","5639.12280702","19872.754386","916.929824561","2727.45614035","0.757666398652","0.969023481836","0.695293920291","0.0309765181644"
" beta=10000 tol=0.0001 mode=cg_mg ","5622.54385965","19867.7894737","921.894736842","2744.03508772","0.757532013635","0.968921290966","0.694990854815","0.0310787090337"
" beta=10000 tol=0.0001 mode=cg ","5622.54385965","19867.7894737","921.894736842","2744.03508772","0.757532013635","0.968921290966","0.694990854815","0.0310787090337"
" beta=10000 tol=0.0001 mode=bf ","5639.12280702","19872.754386","916.929824561","2727.45614035","0.757666398652","0.969023481836","0.695293920291","0.0309765181644"
" beta=20000 tol=0.01 mode=cg_mg ","8080.31578947","14763.9298246","6025.75438596","286.263157895","0.947511305537","0.832350461629","0.651175929166","0.167649538371"
" beta=20000 tol=0.01 mode=cg ","8080.31578947","14763.9298246","6025.75438596","286.263157895","0.947511305537","0.832350461629","0.651175929166","0.167649538371"
" beta=20000 tol=0.01 mode=bf ","6708.14035088","19380.8421053","1408.84210526","1658.43859649","0.830052143409","0.954622034663","0.73217066113","0.0453779653367"
" beta=20000 tol=0.02 mode=cg_mg ","8279.24561404","12330.0","8459.68421053","87.3333333333","0.984327888783","0.734604298708","0.544888733085","0.265395701292"
" beta=20000 tol=0.02 mode=cg ","8279.24561404","12330.0","8459.68421053","87.3333333333","0.984327888783","0.734604298708","0.544888733085","0.265395701292"
" beta=20000 tol=0.02 mode=bf ","6708.14035088","19380.8421053","1408.84210526","1658.43859649","0.830052143409","0.954622034663","0.73217066113","0.0453779653367"
" beta=20000 tol=0.0001 mode=cg_mg ","6702.36842105","19368.2982456","1421.38596491","1664.21052632","0.830961149153","0.954289879057","0.732197528616","0.045710120943"
" beta=20000 tol=0.0001 mode=cg ","6702.36842105","19368.2982456","1421.38596491","1664.21052632","0.830961149153","0.954289879057","0.732197528616","0.045710120943"
" beta=20000 tol=0.0001 mode=bf ","6708.14035088","19380.8421053","1408.84210526","1658.43859649","0.830052143409","0.954622034663","0.73217066113","0.0453779653367"
" beta=30000 tol=0.01 mode=cg_mg ","8179.33333333","13939.7894737","6849.89473684","187.245614035","0.967485763463","0.79016052417","0.606389932958","0.20983947583"
" beta=30000 tol=0.01 mode=cg ","8179.33333333","13939.7894737","6849.89473684","187.245614035","0.967485763463","0.79016052417","0.606389932958","0.20983947583"
" beta=30000 tol=0.01 mode=bf ","7039.43859649","18969.5789474","1820.10526316","1327.14035088","0.855117706853","0.939204157443","0.726279691311","0.0607958425569"
" beta=30000 tol=0.02 mode=cg_mg ","8280.85964912","12523.2631579","8266.42105263","85.7192982456","0.982904993416","0.743340265937","0.55178461243","0.256659734063"
" beta=30000 tol=0.02 mode=cg ","8280.85964912","12523.2631579","8266.42105263","85.7192982456","0.982904993416","0.743340265937","0.55178461243","0.256659734063"
" beta=30000 tol=0.02 mode=bf ","7039.43859649","18969.5789474","1820.10526316","1327.14035088","0.855117706853","0.939204157443","0.726279691311","0.0607958425569"
" beta=30000 tol=0.0001 mode=cg_mg ","7046.1754386","18954.7192982","1834.96491228","1320.40350877","0.856833020532","0.938170748192","0.725459332916","0.0618292518083"
" beta=30000 tol=0.0001 mode=cg ","7046.1754386","18954.7192982","1834.96491228","1320.40350877","0.856833020532","0.938170748192","0.725459332916","0.0618292518083"
" beta=30000 tol=0.0001 mode=bf ","7039.43859649","18969.5789474","1820.10526316","1327.14035088","0.855117706853","0.939204157443","0.726279691311","0.0607958425569"
" beta=40000 tol=0.01 mode=cg_mg ","8218.87719298","13578.5438596","7211.14035088","147.701754386","0.970232351996","0.77858152458","0.585573059051","0.22141847542"
" beta=40000 tol=0.01 mode=cg ","8218.87719298","13578.5438596","7211.14035088","147.701754386","0.970232351996","0.77858152458","0.585573059051","0.22141847542"
" beta=40000 tol=0.01 mode=bf ","7210.31578947","18689.2280702","2100.45614035","1156.26315789","0.864919709513","0.929178082368","0.717031857052","0.070821917632"
" beta=40000 tol=0.02 mode=cg_mg ","8274.1754386","13006.7894737","7782.89473684","92.4035087719","0.980088602403","0.76488794912","0.569918180611","0.23511205088"
" beta=40000 tol=0.02 mode=cg ","8274.1754386","13006.7894737","7782.89473684","92.4035087719","0.980088602403","0.76488794912","0.569918180611","0.23511205088"
" beta=40000 tol=0.02 mode=bf ","7210.31578947","18689.2280702","2100.45614035","1156.26315789","0.864919709513","0.929178082368","0.717031857052","0.070821917632"
" beta=40000 tol=0.0001 mode=cg_mg ","7216.80701754","18643.0175439","2146.66666667","1149.77192982","0.866976640466","0.925876058289","0.710919268063","0.0741239417115"
" beta=40000 tol=0.0001 mode=cg ","7216.80701754","18643.0175439","2146.66666667","1149.77192982","0.866976640466","0.925876058289","0.710919268063","0.0741239417115"
" beta=40000 tol=0.0001 mode=bf ","7210.31578947","18689.2280702","2100.45614035","1156.26315789","0.864919709513","0.929178082368","0.717031857052","0.070821917632"
